4520,Full Spectrum Warrior,3600
4530,Full Spectrum Warrior: Ten Hammers,3600
4540,Titan Quest,4800
4550,Titan Quest - Immortal Throne,4800
4560,Company of Heroes,6800
4570,"Warhammer¬Æ 40,000: Dawn of War¬Æ - Game of the Year Edition",4200
4580,"Warhammer¬Æ 40,000: Dawn of War¬Æ - Dark Crusade",4200
4700,Medieval II: Total War‚Ñ?6800,
4720,Condemned: Criminal Origins,4800
4760,Rome: Total War‚Ñ?- Collection,3600
4770,Rome: Total War‚Ñ?- Alexander,4200
4780,Medieval II: Total War‚Ñ?Kingdoms,4000
4800,Heroes of Annihilated Empires,unknown
4850,Cossacks: Back to War,unknown
4870,Cossacks: Art of War,unknown
4880,Cossacks: European Wars,unknown
4890,Cossacks II: Battle for Europe,unknown
4900,Zen of Sudoku,2100
4920,Natural Selection 2,3600
4932,Natural Selection 2,3600
6030,STAR WARS‚Ñ?Jedi Knight II - Jedi Outcast‚Ñ?3600,
6060,STAR WARS‚Ñ?Battlefront‚Ñ?II,3600
6080,Thrillville¬Æ: Off the Rails‚Ñ?3600,
6129,Shank,3600
6200,Ghost Master¬Æ,2100
6300,Dreamfall: The Longest Journey,6900
6310,The Longest Journey,3600
6400,Joint Task Force,3600
6420,Nexus - The Jupiter Incident,3600
6510,Lost Planet‚Ñ? Extreme Condition,6700
6600,Bullet Candy,unknown
6800,Commandos: Behind Enemy Lines,1800
6810,Commandos: Beyond the Call of Duty,1800
6830,Commandos 2: Men of Courage,1800
6840,Commandos 3: Destination Berlin,1800
6850,Hitman 2: Silent Assassin,2800
6860,Hitman: Blood Money,3400
6870,Battlestations: Midway,2800
6880,Just Cause,2800
6900,Hitman: Codename 47,2800
6910,Deus Ex: Game of the Year Edition,2800
6920,Deus Ex: Invisible War,2800
6980,Thief: Deadly Shadows,3400
7000,Tomb Raider: Legend,2800
7010,Project: Snowblind,2500
7020,Rogue Trooper,3600
7110,Jade Empire‚Ñ? Special Edition,4800
7200,Trackmania United Forever Star Edition,12800
7210,"Runaway, A Road Adventure",3600
7220,"Runaway, The Dream of The Turtle",3600
7260,Loki,3600
7510,X-Blades,3600
7530,Two Worlds II Castle Defense,3600
7600,Sid Meier's Railroads!,3200
7670,BioShock‚Ñ?6400,
7830,Men of War‚Ñ?2100,
7840,Death Track¬Æ: Resurrection,1500
7860,NecroVision,2100
7970,Cabela's¬Æ Big Game Hunter‚Ñ?Trophy Bucks,6800
8000,Tomb Raider: Anniversary,3400
8080,Kane and Lynch: Dead Men‚Ñ?2800,
